Type,Location Name,Commodity,Trading Days,Trading Hours,Number Of Pitches Or Kiosks,Category,Spatial Accuracy,Location,Last Uploaded
Parking within 100 metres,2 paid-for spaces on Herbrand Street (WC1N 1LB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.125174 51.523268),23/01/2019
Parking within 100 metres,3 paid-for spaces on Herbrand Street (WC1N 1EX); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.125612 51.523823),23/01/2019
Kiosk,Woburn Place (Bernard Street),Various,Monday - Saturday,7am-7pm,1,,Property Level,POINT (-0.125735 51.522944),23/01/2019
Kiosk,Oriel Place,Flowers,Monday - Saturday,7am-6pm,1,,Property Level,POINT (-0.177877 51.556085),23/01/2019
Parking within 100 metres,2 paid-for spaces on Hampstead High Street (NW3 1QX); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.177079 51.555857),23/01/2019
Parking within 100 metres,7 paid-for spaces on Bayham Street (NW1 0BS); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 09:30-17:30",,,N/A,POINT (-0.138669 51.536555),23/01/2019
Parking within 100 metres,6 paid-for spaces on Belgrove Street (WC1H 8AB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.123328 51.529587),23/01/2019
Parking within 100 metres,2 paid-for spaces on Queen's Crescent (NW5 4DU); tariff is £2.55 p/h and maximum stay is 1 hour.,N/A,,mon-fri 09:00-11:00,,,N/A,POINT (-0.150948 51.550313),23/01/2019
Parking within 100 metres,4 paid-for spaces on Bedford Avenue (WC1B 3GH); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.130402 51.517758),23/01/2019
Parking within 100 metres,2 paid-for spaces on Hatton Garden (EC1N 8EX); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.108632 51.521015),23/01/2019
Parking within 100 metres,6 paid-for spaces on Alfred Place (WC1E 7LR); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.132814 51.520089),23/01/2019
Parking within 100 metres,2 paid-for spaces on Charlotte Street (W1T 2NS); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.136013 51.519753),23/01/2019
Parking within 100 metres,1 paid-for space on Warren Street (W1T 5NZ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.13903 51.524262),23/01/2019
Parking within 100 metres,12 paid-for spaces on Eversholt Street (NW1 1BE); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",,,N/A,POINT (-0.137862 51.533793),23/01/2019
Parking within 100 metres,4 paid-for spaces on Arlington Road (NW1 7HD); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",,,N/A,POINT (-0.145048 51.539681),23/01/2019
Parking within 100 metres,3 paid-for spaces on Russell Square (WC1H 0DB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.126636 51.52241),23/01/2019
Parking within 100 metres,3 paid-for spaces on Mornington Crescent (NW1 7RB); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",,,N/A,POINT (-0.139831 51.534301),23/01/2019
Parking within 100 metres,2 paid-for spaces on Southampton Place (WC1A 2AL); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.121609 51.51777),23/01/2019
Parking within 100 metres,4 paid-for spaces on Broadhurst Gardens (NW6 3BS); tariff is £2.55 p/h and maximum stay is 30 minutes.,N/A,,mon-sat 08:30-22:00,,,N/A,POINT (-0.181267 51.546704),23/01/2019
Parking within 100 metres,2 paid-for spaces on Arlington Road (NW1 7ET); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-19:00, sat-sun 09:30-17:30",,,N/A,POINT (-0.143185 51.537637),23/01/2019
